,x
3360,T
3361,Mono/DC
3362,Mono/DC
3363,Mono/DC
3364,Mono/DC
3365,Mono/DC
3366,Progenitor
3367,Mono/DC
3368,Mono/DC
3369,Mono/DC
3370,Progenitor
3371,B
3372,Progenitor
3373,Mono/DC
3374,Mono/DC
3375,Mono/DC
3376,NK
3377,B
3378,B
3379,T
3380,T
3381,Mono/DC
3382,Progenitor
3383,B
3384,B
3385,Progenitor
3386,B
3387,Mono/DC
3388,Mono/DC
3389,Mono/DC
3390,Mono/DC
3391,T
3392,T
3393,T
3394,Mono/DC
3395,T
3396,Mono/DC
3397,Mono/DC
3398,Mono/DC
3399,Mono/DC
3400,Mono/DC
3401,Mono/DC
3402,B
3403,T
3404,T
3405,Mono/DC
3406,Mono/DC
3407,T
3408,Mono/DC
3409,Mono/DC
3410,Mono/DC
3411,Mono/DC
3412,Mono/DC
3413,T
3414,Progenitor
3415,Mono/DC
3416,Mono/DC
3417,T
3418,T
3419,B
3420,Mono/DC
3421,Mono/DC
3422,T
3423,Progenitor
3424,Mono/DC
3425,T
3426,Mono/DC
3427,Mono/DC
3428,B
3429,Mono/DC
3430,NK
3431,B
3432,Progenitor
3433,Progenitor
3434,B
3435,Mono/DC
3436,T
3437,T
3438,Progenitor
3439,Mono/DC
3440,T
3441,Mono/DC
3442,Mono/DC
3443,Mono/DC
3444,Mono/DC
3445,Mono/DC
3446,Mono/DC
3447,B
3448,T
3449,Mono/DC
3450,Mono/DC
3451,Mono/DC
3452,B
3453,Mono/DC
3454,T
3455,Mono/DC
3456,T
3457,B
3458,Mono/DC
3459,Mono/DC
3460,Mono/DC
3461,Mono/DC
3462,Mono/DC
3463,NK
3464,Mono/DC
3465,Mono/DC
3466,B
3467,Mono/DC
3468,T
3469,Mono/DC
3470,Mono/DC
3471,Mono/DC
3472,Mono/DC
3473,Mono/DC
3474,Mono/DC
3475,T
3476,T
3477,Mono/DC
3478,Mono/DC
3479,Mono/DC
3480,T
3481,Mono/DC
3482,Mono/DC
3483,Mono/DC
3484,Mono/DC
3485,Mono/DC
3486,B
3487,T
3488,Progenitor
3489,T
3490,Mono/DC
3491,Mono/DC
3492,B
3493,Mono/DC
3494,Mono/DC
3495,Mono/DC
3496,Mono/DC
3497,T
3498,Mono/DC
3499,T
3500,Mono/DC
3501,Mono/DC
3502,Mono/DC
3503,Mono/DC
3504,T
3505,Mono/DC
3506,T
3507,NK
3508,Mono/DC
3509,Mono/DC
3510,Mono/DC
3511,NK
3512,T
3513,Mono/DC
3514,Mono/DC
3515,Mono/DC
3516,Mono/DC
3517,Mono/DC
3518,T
3519,T
3520,Mono/DC
3521,Mono/DC
3522,T
3523,T
3524,Mono/DC
3525,T
3526,Mono/DC
3527,Mono/DC
3528,Mono/DC
3529,Progenitor
3530,Mono/DC
3531,Mono/DC
3532,Mono/DC
3533,Progenitor
3534,Mono/DC
3535,Mono/DC
3536,Mono/DC
3537,Mono/DC
3538,Mono/DC
3539,Mono/DC
3540,Mono/DC
3541,Mono/DC
3542,Mono/DC
3543,Mono/DC
3544,B
3545,Mono/DC
3546,Mono/DC
3547,Mono/DC
3548,Mono/DC
3549,Mono/DC
3550,T
3551,T
3552,Mono/DC
3553,B
3554,Mono/DC
3555,Mono/DC
3556,Mono/DC
3557,Progenitor
3558,Mono/DC
3559,Mono/DC
3560,Mono/DC
3561,NK
3562,Mono/DC
3563,Mono/DC
3564,Mono/DC
3565,T
3566,Mono/DC
3567,Mono/DC
3568,T
3569,T
3570,Mono/DC
3571,Mono/DC
3572,Mono/DC
3573,T
3574,B
3575,Mono/DC
3576,Mono/DC
3577,Mono/DC
3578,Mono/DC
3579,Mono/DC
3580,Mono/DC
3581,Mono/DC
3582,Mono/DC
3583,Mono/DC
3584,B
3585,Mono/DC
3586,NK
3587,T
3588,Mono/DC
3589,Mono/DC
3590,Progenitor
3591,Mono/DC
3592,T
3593,Mono/DC
3594,Mono/DC
3595,Mono/DC
3596,Mono/DC
3597,Progenitor
3598,Mono/DC
3599,NK
3600,Mono/DC
3601,Mono/DC
3602,Mono/DC
3603,Progenitor
3604,Mono/DC
3605,Mono/DC
3606,T
3607,Mono/DC
3608,NK
3609,Mono/DC
3610,T
3611,Mono/DC
3612,Mono/DC
3613,T
3614,Mono/DC
3615,B
3616,Progenitor
3617,Mono/DC
3618,Mono/DC
3619,Mono/DC
3620,T
3621,Mono/DC
3622,T
3623,B
3624,Progenitor
3625,Mono/DC
3626,T
3627,Mono/DC
3628,Mono/DC
3629,Mono/DC
3630,Mono/DC
3631,Mono/DC
3632,T
3633,T
3634,Mono/DC
3635,Mono/DC
3636,Mono/DC
3637,Mono/DC
3638,Mono/DC
3639,Mono/DC
3640,Progenitor
3641,Progenitor
3642,Mono/DC
3643,Mono/DC
3644,T
3645,T
3646,Progenitor
3647,Progenitor
3648,T
3649,T
3650,T
3651,T
3652,Progenitor
3653,Mono/DC
3654,Mono/DC
3655,Mono/DC
3656,Mono/DC
3657,Mono/DC
3658,Mono/DC
3659,Mono/DC
3660,Mono/DC
3661,Mono/DC
3662,Mono/DC
3663,Mono/DC
3664,NK
3665,B
3666,Mono/DC
3667,Mono/DC
3668,Mono/DC
3669,Mono/DC
3670,Mono/DC
3671,Mono/DC
3672,Mono/DC
3673,T
3674,Mono/DC
3675,Mono/DC
3676,Mono/DC
3677,NK
3678,Mono/DC
3679,Mono/DC
3680,Mono/DC
3681,T
3682,Mono/DC
3683,T
3684,Mono/DC
3685,Mono/DC
3686,Mono/DC
3687,Mono/DC
3688,Mono/DC
3689,Mono/DC
3690,Mono/DC
3691,NK
3692,Mono/DC
3693,Mono/DC
3694,Progenitor
3695,B
3696,T
3697,Mono/DC
3698,B
3699,Mono/DC
3700,Mono/DC
3701,B
3702,T
3703,NK
3704,Mono/DC
3705,NK
3706,Mono/DC
3707,Mono/DC
3708,Mono/DC
3709,Mono/DC
3710,T
3711,B
3712,Mono/DC
3713,T
3714,NK
3715,Mono/DC
3716,B
3717,Mono/DC
3718,Mono/DC
3719,B
3720,B
3721,Mono/DC
3722,Mono/DC
3723,T
3724,Mono/DC
3725,Mono/DC
3726,T
3727,Progenitor
3728,Mono/DC
3729,Mono/DC
3730,Mono/DC
3731,Mono/DC
3732,Mono/DC
3733,B
3734,T
3735,Progenitor
3736,Mono/DC
3737,Mono/DC
3738,T
3739,NK
3740,Mono/DC
3741,Mono/DC
3742,T
3743,Mono/DC
3744,NK
3745,T
3746,T
3747,Mono/DC
3748,T
3749,Mono/DC
3750,T
3751,T
3752,Mono/DC
3753,Mono/DC
3754,Mono/DC
3755,T
3756,T
3757,T
3758,Mono/DC
3759,Mono/DC
3760,Progenitor
3761,Mono/DC
3762,Mono/DC
3763,Mono/DC
3764,B
3765,Mono/DC
3766,Mono/DC
3767,NK
3768,Mono/DC
3769,Mono/DC
3770,Mono/DC
3771,B
3772,Mono/DC
3773,NK
3774,Mono/DC
3775,B
3776,Progenitor
3777,T
3778,T
3779,Mono/DC
3780,T
3781,Mono/DC
3782,Mono/DC
3783,Mono/DC
3784,Mono/DC
3785,B
3786,Mono/DC
3787,Mono/DC
3788,Progenitor
3789,T
3790,B
3791,Mono/DC
3792,Mono/DC
3793,Mono/DC
3794,Progenitor
3795,NK
3796,B
3797,Mono/DC
3798,T
3799,Progenitor
3800,T
3801,B
3802,Mono/DC
3803,B
3804,T
3805,NK
3806,T
3807,T
3808,T
3809,T
3810,Mono/DC
3811,T
3812,Mono/DC
3813,Progenitor
3814,B
3815,T
3816,Progenitor
3817,Mono/DC
3818,B
3819,T
3820,NK
3821,T
3822,Progenitor
3823,NK
3824,T
3825,T
3826,Mono/DC
3827,T
3828,T
3829,Mono/DC
3830,Progenitor
3831,T
3832,Mono/DC
3833,T
3834,NK
3835,T
3836,Mono/DC
3837,T
3838,T
3839,T
3840,B
3841,Mono/DC
3842,Progenitor
3843,T
3844,T
3845,NK
3846,NK
3847,Progenitor
3848,T
3849,T
3850,Mono/DC
3851,Mono/DC
3852,Mono/DC
3853,Mono/DC
3854,NK
3855,T
3856,T
3857,T
3858,Mono/DC
3859,T
3860,B
3861,T
3862,T
3863,Mono/DC
3864,Mono/DC
3865,T
3866,Progenitor
3867,Mono/DC
3868,Mono/DC
3869,T
3870,NK
3871,B
3872,T
3873,Mono/DC
3874,NK
3875,Mono/DC
3876,Progenitor
3877,Mono/DC
3878,Mono/DC
3879,T
3880,T
3881,NK
3882,Mono/DC
3883,Mono/DC
3884,B
3885,T
3886,T
3887,T
3888,B
3889,B
3890,B
3891,Mono/DC
3892,B
3893,T
3894,Mono/DC
3895,NK
3896,Mono/DC
3897,Mono/DC
3898,T
3899,T
3900,Mono/DC
3901,Mono/DC
3902,T
3903,Mono/DC
3904,T
3905,Mono/DC
3906,B
3907,Mono/DC
3908,Progenitor
3909,Mono/DC
3910,Mono/DC
3911,Mono/DC
3912,Mono/DC
3913,Mono/DC
3914,T
3915,Mono/DC
3916,Mono/DC
3917,Mono/DC
3918,Mono/DC
3919,Mono/DC
3920,Mono/DC
3921,T
3922,Mono/DC
3923,Mono/DC
3924,Mono/DC
3925,T
3926,Mono/DC
3927,Mono/DC
3928,T
3929,Mono/DC
3930,T
3931,Mono/DC
3932,B
3933,T
3934,Mono/DC
3935,B
3936,Mono/DC
3937,T
3938,Progenitor
3939,Mono/DC
3940,Mono/DC
3941,Mono/DC
3942,Mono/DC
3943,T
3944,Progenitor
3945,Mono/DC
3946,Mono/DC
3947,Mono/DC
3948,Mono/DC
3949,Mono/DC
3950,Mono/DC
3951,NK
3952,T
3953,Mono/DC
3954,Mono/DC
3955,Mono/DC
3956,Mono/DC
3957,Mono/DC
3958,Mono/DC
3959,Mono/DC
3960,Mono/DC
3961,Mono/DC
3962,NK
3963,Mono/DC
3964,Mono/DC
3965,T
3966,Mono/DC
3967,Mono/DC
3968,Mono/DC
3969,Mono/DC
3970,Progenitor
3971,B
3972,Progenitor
3973,Mono/DC
3974,B
3975,Mono/DC
3976,T
3977,Mono/DC
3978,Mono/DC
3979,Mono/DC
3980,B
3981,T
3982,T
3983,Mono/DC
3984,Mono/DC
3985,T
3986,T
3987,Mono/DC
3988,T
3989,Mono/DC
3990,NK
3991,T
3992,Mono/DC
3993,Progenitor
3994,Mono/DC
3995,Mono/DC
3996,NK
3997,NK
3998,Mono/DC
3999,Mono/DC
4000,T
4001,Progenitor
4002,Mono/DC
4003,Mono/DC
4004,Mono/DC
4005,NK
4006,Progenitor
4007,T
4008,Mono/DC
4009,Mono/DC
4010,T
4011,T
4012,T
4013,Mono/DC
4014,NK
4015,Mono/DC
4016,T
4017,B
4018,B
4019,T
4020,T
4021,Progenitor
4022,Mono/DC
4023,Mono/DC
4024,Mono/DC
4025,Mono/DC
4026,Progenitor
4027,T
4028,NK
4029,Mono/DC
4030,Mono/DC
4031,Mono/DC
4032,Mono/DC
4033,Mono/DC
4034,Mono/DC
4035,B
4036,Mono/DC
4037,Mono/DC
4038,Mono/DC
4039,B
4040,T
4041,Mono/DC
4042,Mono/DC
4043,T
4044,T
4045,Mono/DC
4046,Progenitor
4047,Progenitor
4048,T
4049,Mono/DC
4050,Mono/DC
4051,Mono/DC
4052,Mono/DC
4053,Mono/DC
4054,Mono/DC
4055,Progenitor
4056,Mono/DC
4057,Mono/DC
4058,NK
4059,Progenitor
4060,Mono/DC
4061,T
4062,Progenitor
4063,Mono/DC
4064,Mono/DC
4065,Mono/DC
4066,Mono/DC
4067,Mono/DC
4068,Mono/DC
4069,Progenitor
4070,Mono/DC
4071,T
4072,NK
4073,Progenitor
4074,Mono/DC
4075,Mono/DC
4076,T
4077,Mono/DC
4078,Mono/DC
4079,Mono/DC
4080,Mono/DC
4081,Mono/DC
4082,T
4083,NK
4084,Progenitor
4085,Mono/DC
4086,B
4087,Mono/DC
4088,T
4089,T
4090,Mono/DC
4091,NK
4092,Mono/DC
4093,Progenitor
4094,Progenitor
4095,Mono/DC
4096,Mono/DC
4097,Mono/DC
4098,Mono/DC
4099,NK
4100,Mono/DC
4101,Mono/DC
4102,T
4103,T
4104,B
4105,T
4106,Mono/DC
4107,Mono/DC
4108,Mono/DC
4109,T
4110,B
4111,Mono/DC
4112,B
4113,NK
4114,T
4115,Mono/DC
4116,Mono/DC
4117,Mono/DC
4118,T
4119,Mono/DC
4120,Mono/DC
4121,Mono/DC
4122,Mono/DC
4123,T
4124,Mono/DC
4125,Mono/DC
4126,Mono/DC
4127,B
4128,Mono/DC
4129,Mono/DC
4130,Mono/DC
4131,Mono/DC
4132,Progenitor
4133,B
4134,Mono/DC
4135,Mono/DC
4136,T
4137,B
4138,T
4139,T
4140,Mono/DC
4141,Mono/DC
4142,Mono/DC
4143,Mono/DC
4144,Mono/DC
4145,Mono/DC
4146,T
4147,Mono/DC
4148,Mono/DC
4149,Mono/DC
4150,Mono/DC
4151,Mono/DC
4152,T
4153,T
4154,Mono/DC
4155,B
4156,Mono/DC
4157,Mono/DC
4158,Mono/DC
4159,NK
4160,Mono/DC
4161,Mono/DC
4162,B
4163,Mono/DC
4164,Progenitor
4165,Mono/DC
4166,Mono/DC
4167,Progenitor
4168,T
4169,Mono/DC
4170,T
4171,Mono/DC
4172,Progenitor
4173,Progenitor
4174,Mono/DC
4175,Mono/DC
4176,Mono/DC
4177,Mono/DC
4178,Mono/DC
4179,T
4180,NK
4181,T
4182,Mono/DC
4183,Mono/DC
4184,Mono/DC
4185,T
4186,T
4187,Mono/DC
4188,Mono/DC
4189,T
4190,T
4191,T
4192,Mono/DC
4193,Mono/DC
4194,T
4195,Progenitor
4196,T
4197,Mono/DC
4198,NK
4199,Mono/DC
4200,T
4201,T
4202,T
4203,Mono/DC
4204,Mono/DC
4205,NK
4206,T
4207,Mono/DC
4208,Mono/DC
4209,T
4210,T
4211,Mono/DC
4212,T
4213,Mono/DC
4214,T
4215,Mono/DC
4216,B
4217,Mono/DC
4218,Mono/DC
4219,Mono/DC
4220,Progenitor
4221,Mono/DC
4222,Mono/DC
4223,Mono/DC
4224,Mono/DC
4225,Mono/DC
4226,B
4227,Mono/DC
4228,B
4229,B
4230,Mono/DC
4231,Mono/DC
4232,T
4233,Mono/DC
4234,Progenitor
4235,NK
4236,Mono/DC
4237,T
4238,NK
4239,Mono/DC
4240,T
4241,Mono/DC
4242,Mono/DC
4243,T
4244,Mono/DC
4245,T
4246,T
4247,Mono/DC
4248,Mono/DC
4249,Mono/DC
4250,Mono/DC
4251,T
4252,Progenitor
4253,Mono/DC
4254,Mono/DC
4255,Progenitor
4256,T
4257,T
4258,B
4259,Progenitor
4260,B
4261,Mono/DC
4262,Mono/DC
4263,Progenitor
4264,NK
4265,Mono/DC
4266,Mono/DC
4267,NK
4268,Mono/DC
4269,T
4270,Mono/DC
4271,T
4272,B
4273,Progenitor
4274,Progenitor
4275,Mono/DC
4276,B
4277,NK
4278,Progenitor
4279,Progenitor
4280,Mono/DC
4281,Progenitor
4282,Mono/DC
4283,Mono/DC
4284,Mono/DC
4285,B
4286,NK
4287,Progenitor
4288,Mono/DC
4289,Progenitor
4290,Mono/DC
4291,B
4292,Mono/DC
4293,Mono/DC
4294,Mono/DC
4295,Mono/DC
4296,Progenitor
4297,Mono/DC
4298,Progenitor
4299,Mono/DC
4300,Mono/DC
4301,T
4302,Mono/DC
4303,Mono/DC
4304,T
4305,T
4306,Mono/DC
4307,T
4308,Mono/DC
4309,T
4310,Mono/DC
4311,Mono/DC
4312,T
4313,T
4314,NK
4315,Mono/DC
4316,Mono/DC
4317,B
4318,NK
4319,NK
4320,T
4321,Mono/DC
4322,T
4323,T
4324,Mono/DC
4325,T
4326,Mono/DC
4327,T
4328,Mono/DC
4329,Mono/DC
4330,T
4331,Mono/DC
4332,T
4333,Mono/DC
4334,Mono/DC
4335,Mono/DC
4336,Mono/DC
4337,T
4338,Mono/DC
4339,T
4340,Mono/DC
4341,Mono/DC
4342,NK
4343,Mono/DC
4344,T
4345,Mono/DC
4346,NK
4347,Mono/DC
4348,NK
4349,T
4350,T
4351,Mono/DC
4352,Progenitor
4353,B
4354,T
4355,Mono/DC
4356,T
4357,T
4358,Mono/DC
4359,T
4360,Mono/DC
4361,T
4362,T
4363,Mono/DC
4364,Mono/DC
4365,T
4366,T
4367,T
4368,T
4369,T
4370,Mono/DC
4371,Mono/DC
4372,Mono/DC
4373,Mono/DC
4374,Mono/DC
4375,Mono/DC
4376,Mono/DC
4377,Mono/DC
4378,Mono/DC
4379,Mono/DC
4380,Mono/DC
4381,Mono/DC
4382,Mono/DC
4383,Mono/DC
4384,Mono/DC
4385,Mono/DC
4386,Mono/DC
4387,Mono/DC
4388,Mono/DC
4389,Mono/DC
4390,Mono/DC
4391,Mono/DC
4392,Mono/DC
4393,Mono/DC
4394,Mono/DC
4395,Mono/DC
4396,Mono/DC
4397,Mono/DC
4398,Mono/DC
4399,Mono/DC
4400,Mono/DC
4401,Mono/DC
4402,Mono/DC
4403,Mono/DC
4404,Mono/DC
4405,Mono/DC
4406,Mono/DC
4407,Mono/DC
4408,Mono/DC
4409,Mono/DC
4410,Mono/DC
4411,Mono/DC
4412,Mono/DC
4413,Mono/DC
4414,Mono/DC
4415,Mono/DC
4416,Mono/DC
4417,Mono/DC
4418,Mono/DC
4419,Mono/DC
4420,Mono/DC
4421,Progenitor
4422,Mono/DC
4423,Mono/DC
4424,Mono/DC
4425,Mono/DC
4426,Mono/DC
4427,Mono/DC
4428,Mono/DC
4429,Progenitor
4430,Mono/DC
4431,Mono/DC
4432,Mono/DC
4433,B
4434,Mono/DC
4435,T
4436,Mono/DC
4437,Mono/DC
4438,Mono/DC
4439,Mono/DC
4440,Mono/DC
4441,Mono/DC
4442,Mono/DC
4443,Mono/DC
4444,Mono/DC
4445,Mono/DC
4446,Mono/DC
4447,Progenitor
4448,Mono/DC
4449,Mono/DC
4450,Mono/DC
4451,T
4452,T
4453,Mono/DC
4454,T
4455,T
4456,B
4457,Progenitor
4458,Mono/DC
4459,Mono/DC
4460,Mono/DC
4461,T
4462,T
4463,Mono/DC
4464,Mono/DC
4465,T
4466,T
4467,T
4468,Mono/DC
4469,T
4470,Mono/DC
4471,T
4472,Mono/DC
4473,Progenitor
4474,T
4475,Mono/DC
4476,T
4477,Mono/DC
4478,T
4479,Mono/DC
4480,Progenitor
4481,Mono/DC
4482,Mono/DC
4483,Mono/DC
4484,Mono/DC
4485,Mono/DC
4486,Mono/DC
4487,Mono/DC
4488,Mono/DC
4489,Mono/DC
4490,Mono/DC
4491,Mono/DC
4492,Mono/DC
4493,Mono/DC
4494,T
4495,Mono/DC
4496,B
4497,Mono/DC
4498,T
4499,Mono/DC
4500,Mono/DC
4501,Mono/DC
4502,Mono/DC
4503,Mono/DC
4504,Mono/DC
4505,Mono/DC
4506,Mono/DC
4507,Mono/DC
4508,Mono/DC
4509,Mono/DC
4510,Mono/DC
4511,Mono/DC
4512,Mono/DC
4513,Mono/DC
4514,Mono/DC
4515,Mono/DC
4516,Mono/DC
4517,Mono/DC
4518,Mono/DC
4519,Mono/DC
4520,Mono/DC
4521,Mono/DC
4522,Mono/DC
4523,Mono/DC
4524,Progenitor
4525,Mono/DC
4526,Progenitor
4527,Mono/DC
4528,B
4529,T
4530,Mono/DC
4531,Progenitor
4532,Mono/DC
4533,Progenitor
4534,Progenitor
4535,Mono/DC
4536,Mono/DC
4537,Mono/DC
4538,T
4539,Mono/DC
4540,Mono/DC
4541,T
4542,Mono/DC
4543,Mono/DC
4544,Mono/DC
4545,Progenitor
4546,Mono/DC
4547,Mono/DC
4548,NK
4549,T
4550,Mono/DC
4551,Mono/DC
4552,NK
4553,Mono/DC
4554,Mono/DC
4555,Mono/DC
4556,Mono/DC
4557,T
4558,Mono/DC
4559,NK
4560,Mono/DC
4561,Mono/DC
4562,Mono/DC
4563,T
4564,Mono/DC
4565,Progenitor
4566,Mono/DC
4567,T
4568,T
4569,T
4570,T
4571,T
4572,Mono/DC
4573,Mono/DC
4574,T
4575,Mono/DC
4576,Mono/DC
4577,B
4578,T
4579,Progenitor
4580,T
4581,B
4582,Mono/DC
4583,T
4584,Mono/DC
4585,Mono/DC
4586,T
4587,Mono/DC
4588,Mono/DC
4589,Progenitor
4590,Progenitor
4591,Mono/DC
4592,T
4593,B
4594,Mono/DC
4595,T
4596,T
4597,Progenitor
4598,T
4599,Mono/DC
4600,T
4601,Progenitor
4602,B
4603,T
4604,B
4605,Mono/DC
4606,T
4607,T
4608,T
4609,Mono/DC
4610,B
4611,T
4612,Mono/DC
4613,Mono/DC
4614,Mono/DC
4615,Progenitor
4616,Mono/DC
4617,Mono/DC
4618,T
4619,Mono/DC
4620,T
4621,T
4622,T
4623,Mono/DC
4624,Progenitor
4625,Mono/DC
4626,T
4627,NK
4628,Mono/DC
4629,Mono/DC
4630,NK
4631,T
4632,B
4633,T
4634,Mono/DC
4635,B
4636,Mono/DC
4637,Mono/DC
4638,Mono/DC
4639,Mono/DC
4640,T
4641,T
4642,Mono/DC
4643,B
4644,T
4645,T
4646,Mono/DC
4647,Mono/DC
4648,Mono/DC
4649,Mono/DC
4650,T
4651,T
4652,Mono/DC
4653,T
4654,Mono/DC
4655,Mono/DC
4656,Progenitor
4657,NK
4658,B
4659,Mono/DC
4660,Mono/DC
4661,T
4662,T
4663,Progenitor
4664,Mono/DC
4665,Mono/DC
4666,T
4667,Progenitor
4668,T
4669,T
4670,Mono/DC
4671,T
4672,NK
4673,Mono/DC
4674,Mono/DC
4675,T
4676,Mono/DC
4677,T
4678,Mono/DC
4679,T
4680,Mono/DC
4681,Mono/DC
4682,T
4683,B
4684,B
4685,Mono/DC
4686,T
4687,Mono/DC
4688,Progenitor
4689,Mono/DC
4690,T
4691,T
4692,B
4693,Mono/DC
4694,T
4695,Mono/DC
4696,Mono/DC
4697,Mono/DC
4698,Mono/DC
4699,Mono/DC
4700,Mono/DC
4701,NK
4702,Mono/DC
4703,T
4704,Mono/DC
4705,Mono/DC
4706,Mono/DC
4707,Mono/DC
4708,T
4709,NK
4710,Mono/DC
4711,NK
4712,Progenitor
4713,B
4714,Mono/DC
4715,Mono/DC
4716,Mono/DC
4717,Mono/DC
4718,Mono/DC
4719,NK
4720,NK
4721,Mono/DC
4722,T
4723,T
4724,Mono/DC
4725,T
4726,T
4727,NK
4728,Mono/DC
4729,NK
4730,Mono/DC
4731,T
4732,Mono/DC
4733,Mono/DC
4734,T
4735,Mono/DC
4736,Mono/DC
4737,Mono/DC
4738,T
4739,Mono/DC
4740,Mono/DC
4741,Mono/DC
4742,B
4743,Mono/DC
4744,Progenitor
4745,Mono/DC
4746,Mono/DC
4747,Progenitor
4748,T
4749,Mono/DC
4750,Mono/DC
4751,Mono/DC
4752,Mono/DC
4753,B
4754,B
4755,Mono/DC
4756,Mono/DC
4757,Mono/DC
4758,Mono/DC
4759,Mono/DC
4760,T
4761,Mono/DC
4762,Mono/DC
4763,B
4764,T
4765,Mono/DC
4766,Mono/DC
4767,T
4768,Progenitor
4769,Progenitor
4770,T
4771,Mono/DC
4772,T
4773,Progenitor
4774,Mono/DC
4775,Mono/DC
4776,T
4777,Mono/DC
4778,Progenitor
4779,T
4780,Mono/DC
4781,Mono/DC
4782,Mono/DC
4783,Mono/DC
4784,B
4785,T
4786,B
4787,Mono/DC
4788,Progenitor
4789,Mono/DC
4790,Mono/DC
4791,Mono/DC
4792,Mono/DC
4793,Mono/DC
4794,Mono/DC
4795,Mono/DC
4796,Progenitor
4797,Mono/DC
4798,Mono/DC
4799,Mono/DC
4800,Mono/DC
4801,Mono/DC
4802,Mono/DC
4803,Mono/DC
4804,Mono/DC
4805,Mono/DC
4806,T
4807,B
4808,T
4809,T
4810,Mono/DC
4811,Progenitor
4812,Mono/DC
4813,Mono/DC
4814,Mono/DC
4815,Progenitor
4816,Mono/DC
4817,Mono/DC
4818,Mono/DC
4819,T
4820,Mono/DC
4821,Mono/DC
4822,T
4823,NK
4824,T
4825,T
4826,T
4827,T
4828,NK
4829,Mono/DC
4830,T
4831,T
4832,T
4833,B
4834,Mono/DC
4835,NK
4836,Mono/DC
4837,Mono/DC
4838,Mono/DC
4839,Mono/DC
4840,Mono/DC
4841,T
4842,Mono/DC
4843,Mono/DC
4844,Mono/DC
4845,T
4846,Mono/DC
4847,Mono/DC
4848,Mono/DC
4849,T
4850,B
4851,T
4852,Mono/DC
4853,Mono/DC
4854,Mono/DC
4855,Mono/DC
4856,T
4857,Mono/DC
4858,Mono/DC
4859,Mono/DC
4860,Mono/DC
4861,T
4862,Mono/DC
4863,T
4864,Mono/DC
4865,T
4866,NK
4867,Mono/DC
4868,Mono/DC
4869,Mono/DC
4870,Mono/DC
4871,Mono/DC
4872,T
4873,T
4874,T
4875,NK
4876,Mono/DC
4877,Mono/DC
4878,NK
4879,Mono/DC
4880,Mono/DC
4881,Mono/DC
4882,T
4883,Progenitor
4884,T
4885,T
4886,B
4887,T
4888,T
4889,Mono/DC
4890,Mono/DC
4891,NK
4892,Progenitor
4893,T
4894,Mono/DC
4895,Progenitor
4896,NK
4897,T
4898,Mono/DC
4899,T
4900,T
4901,Mono/DC
4902,NK
4903,T
4904,T
4905,T
4906,Mono/DC
4907,Mono/DC
4908,Mono/DC
4909,Mono/DC
4910,Mono/DC
4911,B
4912,Mono/DC
4913,Mono/DC
4914,NK
4915,Mono/DC
4916,T
4917,Mono/DC
4918,Mono/DC
4919,NK
4920,B
4921,T
4922,Mono/DC
4923,T
4924,Mono/DC
4925,Mono/DC
4926,Mono/DC
4927,Mono/DC
4928,Mono/DC
4929,NK
4930,T
4931,T
4932,T
4933,Mono/DC
4934,T
4935,Mono/DC
4936,T
4937,T
4938,T
4939,B
4940,Progenitor
4941,T
4942,B
4943,Mono/DC
4944,T
4945,Mono/DC
4946,NK
4947,Mono/DC
4948,T
4949,Mono/DC
4950,NK
4951,Mono/DC
4952,Mono/DC
4953,Mono/DC
4954,T
4955,Mono/DC
4956,T
4957,Mono/DC
4958,T
4959,Mono/DC
4960,Progenitor
4961,Mono/DC
4962,T
4963,T
4964,Mono/DC
4965,Mono/DC
4966,Mono/DC
4967,Mono/DC
4968,B
4969,Mono/DC
4970,Mono/DC
4971,Progenitor
4972,T
4973,T
4974,Mono/DC
4975,Mono/DC
4976,Mono/DC
4977,Progenitor
4978,Progenitor
4979,Mono/DC
4980,Progenitor
4981,Mono/DC
4982,Mono/DC
4983,Mono/DC
4984,NK
4985,B
4986,Mono/DC
4987,T
4988,Mono/DC
4989,Mono/DC
4990,Mono/DC
4991,Mono/DC
4992,T
4993,Mono/DC
4994,Progenitor
4995,Mono/DC
4996,Mono/DC
4997,B
4998,NK
4999,Progenitor
5000,Mono/DC
5001,Mono/DC
5002,T
5003,Mono/DC
5004,Mono/DC
5005,Progenitor
5006,NK
5007,NK
5008,Mono/DC
5009,Mono/DC
5010,T
5011,NK
5012,T
5013,Mono/DC
5014,Progenitor
5015,Mono/DC
5016,T
5017,B
5018,Progenitor
5019,T
5020,T
5021,Mono/DC
5022,Mono/DC
5023,Progenitor
5024,B
5025,NK
5026,B
5027,NK
5028,B
5029,B
5030,T
5031,Mono/DC
5032,T
5033,B
5034,T
5035,T
5036,Progenitor
5037,Mono/DC
5038,Mono/DC
5039,Mono/DC
5040,Mono/DC
5041,T
5042,Mono/DC
5043,Mono/DC
5044,T
5045,Mono/DC
5046,T
5047,Mono/DC
5048,T
5049,NK
5050,Mono/DC
5051,B
5052,T
5053,B
5054,Mono/DC
5055,Mono/DC
5056,Mono/DC
5057,T
5058,Mono/DC
5059,Progenitor
5060,Mono/DC
5061,T
5062,T
5063,Mono/DC
5064,Mono/DC
5065,Mono/DC
5066,Mono/DC
5067,T
5068,Mono/DC
5069,Mono/DC
5070,Mono/DC
5071,Mono/DC
5072,Mono/DC
5073,Mono/DC
